frequency,rebalance_date,next_rebalance,ic_pearson,ic_spearman,n_stocks
weekly,1974-11-15,1974-11-22,0.06690562340699743,0.08204976438644254,1146
weekly,1974-11-22,1974-11-29,0.10755172396694677,0.13816895865624296,1140
weekly,1974-11-29,1974-12-06,-0.037314829516744814,-0.027162725343006542,1093
weekly,1974-12-06,1974-12-13,0.20116026294380598,0.23906087676000942,1116
weekly,1974-12-13,1974-12-20,0.01751020784556654,0.05565332259118292,1101
weekly,1974-12-20,1974-12-27,0.023852107843936612,0.07252512561314294,1115
weekly,1974-12-27,1975-01-03,-0.08741402090065743,-0.04750404920834203,1106
weekly,1975-01-03,1975-01-10,-0.20230098442779504,-0.16803726550212264,1145
weekly,1975-01-10,1975-01-17,-0.19441472405236865,-0.1714579680435807,1210
weekly,1975-01-17,1975-01-24,-0.04443482402963791,0.010639333590484582,1200
weekly,1975-01-24,1975-01-31,-0.09543220144513749,-0.08967387348871375,1233
weekly,1975-01-31,1975-02-07,0.013230239260203171,0.07114012523264622,1272
weekly,1975-02-07,1975-02-14,0.10779361922227639,0.14236560398453676,1274
weekly,1975-02-14,1975-02-21,0.0029532270958530374,0.06574161681879316,1279
weekly,1975-02-21,1975-02-28,-0.05791860856091746,-0.003191570028735327,1298
weekly,1975-02-28,1975-03-07,0.020907844474894903,0.07178948369147363,1264
weekly,1975-03-07,1975-03-14,-0.1989592394931943,-0.1758985723842158,1305
weekly,1975-03-14,1975-03-21,-0.061760529138740625,-0.04386372821891446,1340
weekly,1975-03-21,1975-03-27,0.08375102858271222,0.13572544089208588,1307
weekly,1975-03-27,1975-04-04,-0.07864669583022597,-0.06504516495090035,1301
weekly,1975-04-04,1975-04-11,0.07126280240480264,0.12322706049276788,1287
weekly,1975-04-11,1975-04-18,-0.008132455675091103,0.04271969312212918,1314
weekly,1975-04-18,1975-04-25,-0.05907355403618541,-0.03217372057101506,1360
weekly,1975-04-25,1975-05-02,0.09726315984464379,0.15706808899632396,1345
weekly,1975-05-02,1975-05-09,-0.08532863431438995,-0.037854897698259705,1362
weekly,1975-05-09,1975-05-16,-0.025056448044342036,0.004385344558922048,1389
weekly,1975-05-16,1975-05-23,-0.0365569032564158,0.020536109398128378,1360
weekly,1975-05-23,1975-05-30,-0.07531668649250921,-0.05591698693895591,1356
weekly,1975-05-30,1975-06-06,-0.06574599665444303,-0.00627425880026991,1376
weekly,1975-06-06,1975-06-13,-0.0721960260539076,-0.038346585732010365,1402
weekly,1975-06-13,1975-06-20,0.13053983623608378,0.18203925600615908,1375
weekly,1975-06-20,1975-06-27,-0.037883511997317626,0.013901165571868936,1398
weekly,1975-06-27,1975-07-03,-0.1400478111651403,-0.09801632882425271,1401
weekly,1975-07-03,1975-07-11,-0.1252785738202325,-0.0699649466002862,1413
weekly,1975-07-11,1975-07-18,-0.16193101305063165,-0.12426572444454485,1428
weekly,1975-07-18,1975-07-25,0.07370033374502886,0.0722711347655766,1420
